,名称,カテゴリ,住所,最寄り駅,築年数,構造,階数,賃料,管理費,敷金,礼金,間取り,専有面積,最寄り駅_抽出,歩行時間
5685,東京メトロ東西線 九段下駅 地下2地上32階建 築20年,賃貸マンション,東京都千代田区西神田３,東京メトロ東西線/九段下駅 歩5分,20,地下2地上32階建,32,1560000,0,3120000,0,3LDK,199.0,東京メトロ東西線,歩5分
5694,東京メトロ有楽町線 麹町駅 11階建 築52年,賃貸マンション,東京都千代田区二番町,東京メトロ有楽町線/麹町駅 歩2分,52,11階建,9,75000,5000,75000,75000,ワンルーム,18.27,東京メトロ有楽町線,歩2分
5697,ＪＲ山手線 秋葉原駅 9階建 築27年,賃貸マンション,東京都千代田区神田佐久間町４,ＪＲ山手線/秋葉原駅 歩8分,27,9階建,4,82000,10000,82000,82000,1K,27.16,ＪＲ山手線,歩8分
5698,ＪＲ山手線 秋葉原駅 9階建 築27年,賃貸マンション,東京都千代田区神田佐久間町４,ＪＲ山手線/秋葉原駅 歩8分,27,9階建,4,85000,10000,85000,0,1K,27.16,ＪＲ山手線,歩8分
5699,ＪＲ山手線 秋葉原駅 9階建 築27年,賃貸マンション,東京都千代田区神田佐久間町４,ＪＲ山手線/秋葉原駅 歩8分,27,9階建,4,85000,12000,85000,0,1K,27.16,ＪＲ山手線,歩8分
5700,ＪＲ山手線 秋葉原駅 9階建 築27年,賃貸マンション,東京都千代田区神田佐久間町４,ＪＲ山手線/秋葉原駅 歩8分,27,9階建,3,85000,12000,85000,0,1K,27.16,ＪＲ山手線,歩8分
5709,ファインコート秋葉原,賃貸マンション,東京都千代田区神田佐久間町４,ＪＲ山手線/秋葉原駅 歩8分,27,9階建,6,85000,12000,85000,0,1K,27.16,ＪＲ山手線,歩8分
5721,エルハイム麹町,賃貸マンション,東京都千代田区九段南３,都営新宿線/市ケ谷駅 歩6分,42,9階建,3,78000,5000,78000,78000,ワンルーム,21.41,都営新宿線,歩6分
5724,ヒルトップ半蔵門,賃貸マンション,東京都千代田区一番町,東京メトロ半蔵門線/半蔵門駅 歩3分,23,7階建,4,279000,26000,279000,0,2LDK,65.16,東京メトロ半蔵門線,歩3分
5725,ヒルトップ半蔵門,賃貸マンション,東京都千代田区一番町,東京メトロ半蔵門線/半蔵門駅 歩3分,23,7階建,5,320000,26000,320000,0,3LDK,75.01,東京メトロ半蔵門線,歩3分
5726,ヒルトップ半蔵門,賃貸マンション,東京都千代田区一番町,東京メトロ半蔵門線/半蔵門駅 歩3分,23,7階建,5,330000,26000,330000,330000,3LDK,75.01,東京メトロ半蔵門線,歩3分
5745,東京メトロ南北線 市ケ谷駅 地下2地上17階建 築17年,賃貸マンション,東京都千代田区四番町,東京メトロ南北線/市ケ谷駅 歩3分,17,地下2地上17階建,13,680000,20000,1360000,680000,3LDK,100.61,東京メトロ南北線,歩3分
5748,グランドヒルズ一番町,賃貸マンション,東京都千代田区一番町,東京メトロ半蔵門線/半蔵門駅 歩3分,19,14階建,5,680000,0,1360000,680000,3LDK,116.99,東京メトロ半蔵門線,歩3分
5751,東京メトロ日比谷線 秋葉原駅 12階建 築4年,賃貸マンション,東京都千代田区東神田２,東京メトロ日比谷線/秋葉原駅 歩8分,4,12階建,8,116000,10000,0,0,1K,25.65,東京メトロ日比谷線,歩8分
5752,東京メトロ日比谷線 秋葉原駅 12階建 築4年,賃貸マンション,東京都千代田区東神田２,東京メトロ日比谷線/秋葉原駅 歩8分,4,12階建,11,170000,15000,0,0,1LDK,41.28,東京メトロ日比谷線,歩8分
5757,二番町テラス,賃貸マンション,東京都千代田区二番町,東京メトロ有楽町線/麹町駅 歩2分,15,地下2地上13階建,11,930000,0,1860000,0,3LDK,143.61,東京メトロ有楽町線,歩2分
5764,東京メトロ半蔵門線 半蔵門駅 地下2地上14階建 築9年,賃貸マンション,東京都千代田区三番町,東京メトロ半蔵門線/半蔵門駅 歩7分,9,地下2地上14階建,2,890000,0,1780000,890000,3SLDK,120.65,東京メトロ半蔵門線,歩7分
5769,Dimus大手町North　【ディームス大手町ノース】,賃貸マンション,東京都千代田区神田多町２,ＪＲ山手線/神田駅 歩4分,4,地下1地上12階建,3,284000,15000,284000,0,2SLDK,50.0,ＪＲ山手線,歩4分
5772,東京メトロ半蔵門線 神保町駅 14階建 新築,賃貸マンション,東京都千代田区神田神保町２,東京メトロ半蔵門線/神保町駅 歩2分,0,14階建,4,400000,30000,400000,400000,3LDK,70.84,東京メトロ半蔵門線,歩2分
5784,東京メトロ半蔵門線 神保町駅 5階建 築6年,賃貸マンション,東京都千代田区神田神保町１,東京メトロ半蔵門線/神保町駅 歩3分,6,5階建,2,107000,7000,107000,107000,1K,23.15,東京メトロ半蔵門線,歩3分
5787,ブランズ六番町,賃貸マンション,東京都千代田区六番町,ＪＲ中央線/市ケ谷駅 歩6分,5,15階建,6,900000,0,1800000,1800000,3LDK,114.28,ＪＲ中央線,歩6分
5793,パークアクシス三番町,賃貸マンション,東京都千代田区三番町,東京メトロ半蔵門線/半蔵門駅 歩6分,3,9階建,9,631000,20000,631000,0,3LDK,93.23,東京メトロ半蔵門線,歩6分
5807,ラヴィラント御茶ノ水,賃貸マンション,東京都千代田区神田猿楽町１,都営三田線/神保町駅 歩4分,8,13階建,6,175000,15000,175000,262500,1SLDK,40.18,都営三田線,歩4分
5820,フォレシティ神田須田町,賃貸マンション,東京都千代田区神田須田町２,ＪＲ山手線/秋葉原駅 歩5分,17,15階建,13,180000,15000,180000,180000,2LDK,49.85,ＪＲ山手線,歩5分
5823,ＪＲ山手線 秋葉原駅 11階建 築3年,賃貸マンション,東京都千代田区神田佐久間町３,ＪＲ山手線/秋葉原駅 歩4分,3,11階建,3,310000,20000,310000,310000,2LDK,70.55,ＪＲ山手線,歩4分
5826,ガレリアドゥエル神田岩本町,賃貸マンション,東京都千代田区岩本町２,都営新宿線/岩本町駅 歩4分,1,14階建,10,295000,15000,295000,295000,2LDK,59.54,都営新宿線,歩4分
5827,ガレリアドゥエル神田岩本町,賃貸マンション,東京都千代田区岩本町２,都営新宿線/岩本町駅 歩4分,1,14階建,11,400000,0,400000,400000,1SLDK,59.54,都営新宿線,歩4分
5838,グラックス市ヶ谷一口坂,賃貸マンション,東京都千代田区九段北４,都営新宿線/市ケ谷駅 歩3分,19,地下1地上12階建,5,330000,0,330000,330000,2SLDK,70.79,都営新宿線,歩3分
5839,グラックス市ヶ谷一口坂,賃貸マンション,東京都千代田区九段北４,都営新宿線/市ケ谷駅 歩3分,19,地下1地上12階建,1,330000,0,330000,330000,2LDK,70.79,都営新宿線,歩3分
5844,ガーラ・ヴィスタ水道橋,賃貸マンション,東京都千代田区神田猿楽町２,ＪＲ中央線/水道橋駅 歩5分,10,13階建,13,240000,0,480000,240000,2LDK,50.13,ＪＲ中央線,歩5分
5874,ＪＲ山手線 神田駅 2階建 築64年,賃貸一戸建て,東京都千代田区神田富山町,ＪＲ山手線/神田駅 歩3分,64,2階建,1,130000,0,260000,130000,2LK,45.15,ＪＲ山手線,歩3分
5877,四番町テラス,賃貸マンション,東京都千代田区四番町,東京メトロ有楽町線/麹町駅 歩7分,26,4階建,2,550000,0,1100000,550000,3SLDK,108.85,東京メトロ有楽町線,歩7分
5883,麹町三番町マンション,賃貸マンション,東京都千代田区三番町,東京メトロ半蔵門線/半蔵門駅 歩4分,53,11階建,4,380000,0,380000,380000,3LDK,105.6,東京メトロ半蔵門線,歩4分
5886,ＪＲ山手線 秋葉原駅 3階建 築48年,賃貸マンション,東京都千代田区神田和泉町,ＪＲ山手線/秋葉原駅 歩4分,48,3階建,3,150000,0,150000,150000,3DK,53.64,ＪＲ山手線,歩4分
5892,二番町パークフォレスト,賃貸マンション,東京都千代田区二番町,東京メトロ有楽町線/麹町駅 歩4分,20,地下2地上14階建,12,650000,0,1300000,1300000,2LDK,133.84,東京メトロ有楽町線,歩4分
5895,パークコート千代田一番町,賃貸マンション,東京都千代田区一番町,東京メトロ半蔵門線/半蔵門駅 歩3分,2,地下1地上14階建,2,310000,20000,620000,310000,2LDK,51.11,東京メトロ半蔵門線,歩3分
5896,パークコート千代田一番町,賃貸マンション,東京都千代田区一番町,東京メトロ半蔵門線/半蔵門駅 歩3分,2,地下1地上14階建,14,460000,20000,460000,460000,2LDK,60.1,東京メトロ半蔵門線,歩3分
5898,パークコート千代田一番町,賃貸マンション,東京都千代田区一番町,東京メトロ半蔵門線/半蔵門駅 歩3分,2,地下1地上14階建,13,530000,30000,530000,530000,2LDK,73.22,東京メトロ半蔵門線,歩3分
5913,プラネスーペリア四番町,賃貸マンション,東京都千代田区四番町,東京メトロ南北線/市ケ谷駅 歩3分,6,地下1地上12階建,8,400000,20000,400000,400000,2LDK,67.0,東京メトロ南北線,歩3分
5919,パルシオ五番町,賃貸マンション,東京都千代田区五番町,東京メトロ有楽町線/市ケ谷駅 歩4分,21,地下2地上14階建,4,348000,20000,696000,348000,2LDK,66.67,東京メトロ有楽町線,歩4分
5922,アトラス千代田御茶ノ水,賃貸マンション,東京都千代田区神田猿楽町１,東京メトロ半蔵門線/神保町駅 歩5分,6,地下1地上14階建,10,335000,0,670000,670000,2LDK,57.45,東京メトロ半蔵門線,歩5分
5925,ＪＲ山手線 神田駅 12階建 築4年,賃貸マンション,東京都千代田区神田多町２,ＪＲ山手線/神田駅 歩4分,4,12階建,11,197000,12000,197000,0,1SLDK,37.91,ＪＲ山手線,歩4分
5946,東京メトロ半蔵門線 半蔵門駅 地下1地上9階建 築20年,賃貸マンション,東京都千代田区三番町,東京メトロ半蔵門線/半蔵門駅 歩5分,20,地下1地上9階建,6,750000,0,1500000,750000,2LDK,113.71,東京メトロ半蔵門線,歩5分
5952,東京メトロ丸ノ内線 淡路町駅 11階建 築10年,賃貸マンション,東京都千代田区神田錦町１,東京メトロ丸ノ内線/淡路町駅 歩2分,10,11階建,2,160000,10000,160000,160000,2DK,42.47,東京メトロ丸ノ内線,歩2分
5961,ウエリス千代田東神田,賃貸マンション,東京都千代田区東神田２,ＪＲ総武線快速/馬喰町駅 歩4分,6,12階建,6,180000,15000,180000,180000,1LDK,42.47,ＪＲ総武線快速,歩4分
5962,ウエリス千代田東神田,賃貸マンション,東京都千代田区東神田２,ＪＲ総武線快速/馬喰町駅 歩4分,6,12階建,6,185000,15000,185000,185000,1LDK,42.47,ＪＲ総武線快速,歩4分
5970,ルグラン三番町,賃貸マンション,東京都千代田区三番町,東京メトロ半蔵門線/半蔵門駅 歩7分,25,8階建,2,480000,0,960000,480000,2LDK,98.0,東京メトロ半蔵門線,歩7分
5973,ルジェンテ千代田神保町,賃貸マンション,東京都千代田区神田神保町１,東京メトロ半蔵門線/神保町駅 歩3分,9,13階建,2,150000,10000,150000,150000,1LDK,30.63,東京メトロ半蔵門線,歩3分
5974,ルジェンテ千代田神保町,賃貸マンション,東京都千代田区神田神保町１,東京メトロ半蔵門線/神保町駅 歩3分,9,13階建,7,185000,10000,185000,185000,1LDK,39.74,東京メトロ半蔵門線,歩3分
5979,ライオンズ千代田三崎町,賃貸マンション,東京都千代田区神田三崎町３,ＪＲ中央線/水道橋駅 歩3分,11,14階建,12,168000,0,168000,168000,1LDK,37.03,ＪＲ中央線,歩3分
5985,ＣＯＮＯＥ＜秋葉原岩本町＞,賃貸マンション,東京都千代田区岩本町３,都営新宿線/岩本町駅 歩3分,11,12階建,3,180000,10000,360000,180000,1LDK,47.29,都営新宿線,歩3分
5988,ＪＲ山手線 神田駅 5階建 築24年,賃貸マンション,東京都千代田区神田須田町１,ＪＲ山手線/神田駅 歩4分,24,5階建,1,250000,0,1000000,250000,1SLDK,66.93,ＪＲ山手線,歩4分
5994,チェスターハウス猿楽町,賃貸マンション,東京都千代田区神田猿楽町１,都営新宿線/神保町駅 歩4分,21,6階建,2,160000,4000,320000,0,1LDK,39.99,都営新宿線,歩4分
5997,アイディーコート飯田橋,賃貸マンション,東京都千代田区飯田橋２,東京メトロ東西線/飯田橋駅 歩3分,12,12階建,5,225000,18000,225000,225000,1LDK,46.2,東京メトロ東西線,歩3分
6000,東京メトロ銀座線 末広町駅 9階建 築45年,賃貸マンション,東京都千代田区外神田６,東京メトロ銀座線/末広町駅 歩3分,45,9階建,8,183000,0,0,183000,2LDK,69.6,東京メトロ銀座線,歩3分
6012,東京メトロ日比谷線 秋葉原駅 地下1地上5階建 築5年,賃貸マンション,東京都千代田区神田和泉町,東京メトロ日比谷線/秋葉原駅 歩3分,5,地下1地上5階建,1,170000,5000,170000,170000,1LDK,44.76,東京メトロ日比谷線,歩3分
6015,ＪＲ山手線 秋葉原駅 12階建 築5年,賃貸マンション,東京都千代田区東神田２,ＪＲ山手線/秋葉原駅 歩6分,5,12階建,6,170000,5000,170000,170000,1SLDK,40.62,ＪＲ山手線,歩6分
6018,ＪＲ中央線 四ツ谷駅 地下1地上14階建 築5年,賃貸マンション,東京都千代田区麹町６,ＪＲ中央線/四ツ谷駅 歩3分,5,地下1地上14階建,3,185000,25000,185000,185000,1LDK,36.4,ＪＲ中央線,歩3分
6024,グランリビオ千代田平河町,賃貸マンション,東京都千代田区平河町１,東京メトロ半蔵門線/半蔵門駅 歩3分,4,14階建,9,180000,10000,180000,180000,1LDK,32.6,東京メトロ半蔵門線,歩3分
6027,東京メトロ東西線 九段下駅 12階建 築10年,賃貸マンション,東京都千代田区九段南２,東京メトロ東西線/九段下駅 歩5分,10,12階建,4,200000,6000,200000,200000,1LDK,45.96,東京メトロ東西線,歩5分
6039,ＰＥＡＫＳ神田,賃貸マンション,東京都千代田区神田西福田町,ＪＲ山手線/神田駅 歩5分,7,14階建,14,182000,10000,182000,0,1LDK,37.64,ＪＲ山手線,歩5分
6043,ＪＲ総武線 浅草橋駅 4階建 築36年,賃貸マンション,東京都千代田区東神田３,ＪＲ総武線/浅草橋駅 歩4分,36,4階建,3,125000,0,125000,125000,2DK,38.04,ＪＲ総武線,歩4分
6066,アンビックス神田,賃貸マンション,東京都千代田区神田鍛冶町３,ＪＲ山手線/神田駅 歩2分,12,9階建,3,188000,13000,188000,188000,1LDK,40.41,ＪＲ山手線,歩2分
6081,東京メトロ半蔵門線 半蔵門駅 地下1地上10階建 築52年,賃貸マンション,東京都千代田区一番町,東京メトロ半蔵門線/半蔵門駅 歩3分,52,地下1地上10階建,6,220000,0,440000,0,2LDK,60.09,東京メトロ半蔵門線,歩3分
6084,富士第一ビル,賃貸マンション,東京都千代田区神田須田町１,東京メトロ丸ノ内線/淡路町駅 歩3分,45,10階建,8,257500,20000,257500,0,2LDK,73.39,東京メトロ丸ノ内線,歩3分
6087,ホーマッドアドミラル,賃貸マンション,東京都千代田区二番町,東京メトロ有楽町線/麹町駅 歩2分,41,地下1地上6階建,2,560000,20000,1120000,560000,2SLDK,115.27,東京メトロ有楽町線,歩2分
6090,ＪＲ山手線 神田駅 11階建 築18年,賃貸マンション,東京都千代田区岩本町１,ＪＲ山手線/神田駅 歩5分,18,11階建,8,168000,10000,168000,0,1LDK,40.21,ＪＲ山手線,歩5分
6102,J-FIRST CHIYODA　【ジェイファーストチヨダ】,賃貸マンション,東京都千代田区外神田２,ＪＲ山手線/秋葉原駅 歩7分,9,9階建,2,165000,12000,0,165000,1SLDK,42.13,ＪＲ山手線,歩7分
6105,ニューアガタビル,賃貸マンション,東京都千代田区東神田１,ＪＲ山手線/秋葉原駅 歩12分,40,8階建,5,81000,1000,81000,81000,ワンルーム,19.72,ＪＲ山手線,歩12分
6106,ニューアガタビル,賃貸マンション,東京都千代田区東神田１,ＪＲ山手線/秋葉原駅 歩12分,40,8階建,4,81000,1000,81000,81000,ワンルーム,19.72,ＪＲ山手線,歩12分
6111,シティハウス千代田外神田,賃貸マンション,東京都千代田区外神田６,東京メトロ千代田線/湯島駅 歩2分,6,13階建,10,190000,20000,190000,190000,1LDK,38.25,東京メトロ千代田線,歩2分
6114,ＪＲ総武線快速 馬喰町駅 2階建 築60年,賃貸一戸建て,東京都千代田区東神田１,ＪＲ総武線快速/馬喰町駅 歩3分,60,2階建,1,145000,0,290000,145000,2SDK,42.1,ＪＲ総武線快速,歩3分
6120,フジビュータワー飯田橋,賃貸マンション,東京都千代田区富士見１,東京メトロ東西線/飯田橋駅 歩2分,31,地下3地上11階建,10,820000,0,2460000,0,2LDK,217.1,東京メトロ東西線,歩2分
6123,ＪＲ山手線 神田駅 9階建 築6年,賃貸マンション,東京都千代田区神田富山町,ＪＲ山手線/神田駅 歩3分,6,9階建,8,163000,10000,163000,0,1DK,32.57,ＪＲ山手線,歩3分
6124,ＪＲ山手線 神田駅 9階建 築6年,賃貸マンション,東京都千代田区神田富山町,ＪＲ山手線/神田駅 歩3分,6,9階建,8,169000,10000,169000,169000,1DK,32.57,ＪＲ山手線,歩3分
6138,グリーンパーク神田,賃貸マンション,東京都千代田区神田須田町２,ＪＲ山手線/秋葉原駅 歩5分,20,地下1地上12階建,5,190000,10000,190000,190000,1LDK,51.48,ＪＲ山手線,歩5分
6141,東京メトロ東西線 飯田橋駅 12階建 築25年,賃貸マンション,東京都千代田区飯田橋３,東京メトロ東西線/飯田橋駅 歩2分,25,12階建,9,215000,0,215000,215000,1SLDK,50.8,東京メトロ東西線,歩2分
6144,パークリュクス御茶ノ水,賃貸マンション,東京都千代田区神田猿楽町２,ＪＲ中央線/水道橋駅 歩8分,15,12階建,5,120000,10000,120000,120000,1K,27.69,ＪＲ中央線,歩8分
6145,パークリュクス御茶ノ水,賃貸マンション,東京都千代田区神田猿楽町２,ＪＲ中央線/水道橋駅 歩8分,15,12階建,6,181000,0,362000,181000,1LDK,40.35,ＪＲ中央線,歩8分
6150,コンフォルト東京,賃貸マンション,東京都千代田区東神田１,ＪＲ総武線快速/馬喰町駅 歩4分,19,9階建,2,97000,0,97000,97000,1DK,26.61,ＪＲ総武線快速,歩4分
6153,東京メトロ半蔵門線 半蔵門駅 19階建 築16年,賃貸マンション,東京都千代田区一番町,東京メトロ半蔵門線/半蔵門駅 歩2分,16,19階建,3,240000,10000,240000,0,1LDK,54.98,東京メトロ半蔵門線,歩2分
6162,東京メトロ東西線 九段下駅 13階建 築8年,賃貸マンション,東京都千代田区九段北１,東京メトロ東西線/九段下駅 歩4分,8,13階建,7,156000,10000,156000,0,1K,32.63,東京メトロ東西線,歩4分
6168,新御茶ノ水アーバントリニティ,賃貸マンション,東京都千代田区神田駿河台３,東京メトロ千代田線/新御茶ノ水駅 歩1分,22,地下2地上12階建,9,198000,12000,198000,0,1SLDK,45.64,東京メトロ千代田線,歩1分
6177,ビィ・フォルマ東日本橋,賃貸マンション,東京都千代田区東神田１,ＪＲ総武線快速/馬喰町駅 歩3分,6,8階建,8,125000,10500,125000,125000,1DK,30.04,ＪＲ総武線快速,歩3分
6180,岡崎ビル,賃貸マンション,東京都千代田区内神田３,ＪＲ山手線/神田駅 歩3分,46,5階建,5,100000,10000,100000,100000,1DK,27.4,ＪＲ山手線,歩3分
6183,東京メトロ東西線 飯田橋駅 11階建 築42年,賃貸マンション,東京都千代田区飯田橋２,東京メトロ東西線/飯田橋駅 歩3分,42,11階建,10,160000,8000,160000,0,2DK,39.75,東京メトロ東西線,歩3分
6198,常秀館,賃貸マンション,東京都千代田区九段南３,ＪＲ中央線/市ケ谷駅 歩6分,0,7階建,2,190000,7000,190000,190000,1LDK,39.78,ＪＲ中央線,歩6分
6199,常秀館,賃貸マンション,東京都千代田区九段南３,ＪＲ中央線/市ケ谷駅 歩6分,0,7階建,3,192000,7000,192000,192000,1LDK,39.78,ＪＲ中央線,歩6分
6200,常秀館,賃貸マンション,東京都千代田区九段南３,ＪＲ中央線/市ケ谷駅 歩6分,0,7階建,4,194000,7000,194000,194000,1LDK,39.78,ＪＲ中央線,歩6分
6201,常秀館,賃貸マンション,東京都千代田区九段南３,ＪＲ中央線/市ケ谷駅 歩6分,0,7階建,5,196000,7000,196000,196000,1LDK,39.78,ＪＲ中央線,歩6分
6213,フォレシティ神田多町,賃貸マンション,東京都千代田区神田多町２,東京メトロ丸ノ内線/淡路町駅 歩2分,17,12階建,8,98500,10000,98500,98500,ワンルーム,23.75,東京メトロ丸ノ内線,歩2分
6214,フォレシティ神田多町,賃貸マンション,東京都千代田区神田多町２,東京メトロ丸ノ内線/淡路町駅 歩2分,17,12階建,10,99500,10000,99500,99500,1K,23.75,東京メトロ丸ノ内線,歩2分
6215,フォレシティ神田多町,賃貸マンション,東京都千代田区神田多町２,東京メトロ丸ノ内線/淡路町駅 歩2分,17,12階建,12,115000,15000,115000,115000,1K,27.84,東京メトロ丸ノ内線,歩2分
6234,カーサ三崎町,賃貸マンション,東京都千代田区神田三崎町３,ＪＲ中央線/水道橋駅 歩3分,11,6階建,5,102000,10000,102000,102000,1K,25.03,ＪＲ中央線,歩3分
6237,SYFORME JIMBOCHO,賃貸マンション,東京都千代田区神田神保町１,東京メトロ半蔵門線/神保町駅 歩3分,9,12階建,10,112000,8000,0,112000,ワンルーム,25.68,東京メトロ半蔵門線,歩3分
6238,SYFORME JIMBOCHO,賃貸マンション,東京都千代田区神田神保町１,東京メトロ半蔵門線/神保町駅 歩3分,9,12階建,5,117000,8000,0,117000,1K,25.81,東京メトロ半蔵門線,歩3分
6243,東京メトロ半蔵門線 神保町駅 地下1地上5階建 築2年,賃貸マンション,東京都千代田区神田猿楽町２,東京メトロ半蔵門線/神保町駅 歩6分,2,地下1地上5階建,1,225000,12000,0,0,1LDK,44.67,東京メトロ半蔵門線,歩6分
6244,東京メトロ半蔵門線 神保町駅 地下1地上5階建 築2年,賃貸マンション,東京都千代田区神田猿楽町２,東京メトロ半蔵門線/神保町駅 歩6分,2,地下1地上5階建,1,225000,12000,0,0,1LDK,44.67,東京メトロ半蔵門線,歩6分
6255,東京メトロ半蔵門線 半蔵門駅 8階建 築43年,賃貸マンション,東京都千代田区麹町１,東京メトロ半蔵門線/半蔵門駅 歩2分,43,8階建,6,550000,0,550000,550000,2LDK,118.52,東京メトロ半蔵門線,歩2分
6258,ヒルクレスト御茶ノ水,賃貸マンション,東京都千代田区神田駿河台２,ＪＲ総武線/御茶ノ水駅 歩1分,16,9階建,9,205000,0,205000,205000,1LDK,50.09,ＪＲ総武線,歩1分
6267,Royal Pine Residence,賃貸マンション,東京都千代田区神田駿河台４,東京メトロ千代田線/新御茶ノ水駅 歩5分,18,地下2地上17階建,16,390000,0,780000,390000,1LDK,87.58,東京メトロ千代田線,歩5分
6276,東京メトロ南北線 永田町駅 4階建 築42年,賃貸マンション,東京都千代田区平河町２,東京メトロ南北線/永田町駅 歩4分,42,4階建,3,123500,9500,0,0,1LDK,36.68,東京メトロ南北線,歩4分
6282,メインステージ神田岩本町II,賃貸マンション,東京都千代田区岩本町１,ＪＲ総武線快速/馬喰町駅 歩3分,19,8階建,8,80000,18000,0,80000,1K,22.85,ＪＲ総武線快速,歩3分
6294,東京メトロ半蔵門線 神保町駅 11階建 築20年,賃貸マンション,東京都千代田区神田神保町２,東京メトロ半蔵門線/神保町駅 歩4分,20,11階建,5,117000,8000,117000,117000,1K,26.68,東京メトロ半蔵門線,歩4分
6300,ＢーＷＡＬＬ神保町,賃貸マンション,東京都千代田区神田神保町１,都営三田線/神保町駅 歩2分,20,9階建,8,113500,10500,0,113500,1K,22.79,都営三田線,歩2分
6306,ベルジューレ神保町,賃貸マンション,東京都千代田区神田神保町１,都営三田線/神保町駅 歩3分,7,12階建,10,118000,10000,118000,118000,1K,25.28,都営三田線,歩3分
6309,アデニウム東神田,賃貸マンション,東京都千代田区東神田１,ＪＲ総武線快速/馬喰町駅 歩2分,12,15階建,14,145000,10000,0,0,1DK,34.16,ＪＲ総武線快速,歩2分
6312,東京メトロ半蔵門線 神保町駅 9階建 築22年,賃貸マンション,東京都千代田区神田錦町３,東京メトロ半蔵門線/神保町駅 歩8分,22,9階建,8,320000,14900,320000,320000,2LDK,89.39,東京メトロ半蔵門線,歩8分
6315,ビラビスタ猿楽町,賃貸マンション,東京都千代田区神田猿楽町１,都営三田線/神保町駅 歩3分,8,8階建,5,100000,10000,100000,0,1K,20.92,都営三田線,歩3分
6327,東京メトロ東西線 飯田橋駅 地下1地上8階建 築39年,賃貸マンション,東京都千代田区富士見１,東京メトロ東西線/飯田橋駅 歩5分,39,地下1地上8階建,4,110000,5000,220000,110000,2K,35.83,東京メトロ東西線,歩5分
6333,東京メトロ東西線 九段下駅 地下1地上13階建 築46年,賃貸マンション,東京都千代田区九段北１,東京メトロ東西線/九段下駅 歩3分,46,地下1地上13階建,5,130000,0,260000,130000,2K,41.08,東京メトロ東西線,歩3分
6339,東京メトロ丸ノ内線 淡路町駅 地下1地上13階建 築20年,賃貸マンション,東京都千代田区神田多町２,東京メトロ丸ノ内線/淡路町駅 歩4分,20,地下1地上13階建,2,97000,5000,97000,97000,1K,24.19,東京メトロ丸ノ内線,歩4分
6345,東京メトロ有楽町線 飯田橋駅 10階建 築21年,賃貸マンション,東京都千代田区富士見２,東京メトロ有楽町線/飯田橋駅 歩4分,21,10階建,8,123000,6000,123000,123000,1K,28.37,東京メトロ有楽町線,歩4分
6348,東京メトロ有楽町線 麹町駅 9階建 築48年,賃貸マンション,東京都千代田区平河町２,東京メトロ有楽町線/麹町駅 歩4分,48,9階建,3,130000,10000,260000,130000,1LDK,32.0,東京メトロ有楽町線,歩4分
6351,ＣＫ３２１５－ＮＯＲＴＨ,賃貸マンション,東京都千代田区神田佐久間町３,ＪＲ山手線/秋葉原駅 歩4分,6,5階建,2,73000,5000,0,0,ワンルーム,10.78,ＪＲ山手線,歩4分
6354,東京メトロ東西線 飯田橋駅 11階建 築1年,賃貸マンション,東京都千代田区飯田橋２,東京メトロ東西線/飯田橋駅 歩6分,1,11階建,8,120000,15000,120000,120000,ワンルーム,25.44,東京メトロ東西線,歩6分
6384,ＪＲ山手線 秋葉原駅 10階建 築21年,賃貸マンション,東京都千代田区神田須田町１,ＪＲ山手線/秋葉原駅 歩4分,21,10階建,6,82000,8000,82000,82000,1K,22.99,ＪＲ山手線,歩4分
6393,ＧＲＡＮ　ＰＡＳＥＯ神田駅前,賃貸マンション,東京都千代田区神田須田町２,ＪＲ京浜東北線/神田駅 歩5分,5,12階建,7,107000,15000,0,0,1K,21.3,ＪＲ京浜東北線,歩5分
6394,ＧＲＡＮ　ＰＡＳＥＯ神田駅前,賃貸マンション,東京都千代田区神田須田町２,ＪＲ京浜東北線/神田駅 歩5分,5,12階建,8,108000,15000,0,0,1K,21.3,ＪＲ京浜東北線,歩5分
6405,都営新宿線 馬喰横山駅 10階建 築22年,賃貸マンション,東京都千代田区岩本町１,都営新宿線/馬喰横山駅 歩4分,22,10階建,9,90000,5000,90000,90000,1K,23.06,都営新宿線,歩4分
6414,ＴＨＥ千代田麹町ＴＯＷＥＲ,賃貸マンション,東京都千代田区麹町３,東京メトロ有楽町線/麹町駅 歩1分,5,地下3地上26階建,8,300000,3800,300000,300000,1LDK,41.08,東京メトロ有楽町線,歩1分
6417,東京メトロ丸ノ内線 淡路町駅 地下1地上6階建 築37年,賃貸マンション,東京都千代田区神田司町２,東京メトロ丸ノ内線/淡路町駅 歩3分,37,地下1地上6階建,5,120000,15000,120000,0,1LDK,39.22,東京メトロ丸ノ内線,歩3分
6426,東京メトロ半蔵門線 半蔵門駅 12階建 築11年,賃貸マンション,東京都千代田区一番町,東京メトロ半蔵門線/半蔵門駅 歩2分,11,12階建,6,110000,10000,0,110000,1K,25.27,東京メトロ半蔵門線,歩2分
6429,新内こもれび千代田,賃貸マンション,東京都千代田区西神田２,東京メトロ半蔵門線/神保町駅 歩3分,19,9階建,4,112000,10000,112000,112000,1K,29.73,東京メトロ半蔵門線,歩3分
