,名称,カテゴリ,住所,最寄り駅,築年数,構造,階数,賃料,管理費,敷金,礼金,間取り,専有面積
1332,CITY SPIRE 半蔵門　シティスパイア半蔵門,賃貸マンション,東京都千代田区麹町３,東京メトロ半蔵門線/半蔵門駅 歩3分,築19年,地下1地上12階建,2階,29.5万円,15000円,-,-,1LDK,59.39m2
1334,CITY SPIRE 半蔵門　シティスパイア半蔵門,賃貸マンション,東京都千代田区麹町３,東京メトロ半蔵門線/半蔵門駅 歩3分,築19年,地下1地上12階建,11階,32.5万円,15000円,-,-,2LDK,59.39m2
1347,SYFORME KANDA,賃貸マンション,東京都千代田区神田富山町,ＪＲ山手線/神田駅 歩4分,築12年,9階建,5階,11.6万円,13000円,-,11.6万円,1K,31.11m2
1348,SYFORME KANDA,賃貸マンション,東京都千代田区神田富山町,ＪＲ山手線/神田駅 歩4分,築12年,9階建,5階,18.6万円,10000円,-,18.6万円,1LDK,44.39m2
1349,SYFORME KANDA,賃貸マンション,東京都千代田区神田富山町,ＪＲ山手線/神田駅 歩4分,築12年,9階建,5階,18.6万円,13000円,-,18.6万円,1LDK,44.39m2
1356,ＪＲ山手線 神田駅 9階建 築12年,賃貸マンション,東京都千代田区神田富山町,ＪＲ山手線/神田駅 歩5分,築12年,9階建,5階,11.6万円,13000円,-,11.6万円,1DK,31.11m2
1362,KOUSOU秋葉原,賃貸マンション,東京都千代田区外神田３,ＪＲ山手線/秋葉原駅 歩8分,新築,地下1地上5階建,4階,11.5万円,10000円,11.5万円,-,ワンルーム,21.04m2
1363,KOUSOU秋葉原,賃貸マンション,東京都千代田区外神田３,ＪＲ山手線/秋葉原駅 歩8分,新築,地下1地上5階建,1階,11.5万円,10000円,11.5万円,-,ワンルーム,20.78m2
1365,KOUSOU秋葉原,賃貸マンション,東京都千代田区外神田３,ＪＲ山手線/秋葉原駅 歩8分,新築,地下1地上5階建,3階,11.6万円,10000円,11.6万円,-,ワンルーム,21.04m2
1367,KOUSOU秋葉原,賃貸マンション,東京都千代田区外神田３,ＪＲ山手線/秋葉原駅 歩8分,新築,地下1地上5階建,2階,11.6万円,10000円,11.6万円,-,ワンルーム,21.04m2
