,名称,カテゴリ,住所,最寄り駅,築年数,構造,階数,賃料,管理費,敷金,礼金,間取り,専有面積
563,ＪＲ山手線 秋葉原駅 12階建 築18年,賃貸マンション,東京都千代田区岩本町３,ＪＲ山手線/秋葉原駅 歩5分,築18年,12階建,8階,8.9万円,9000円,8.9万円,17.8万円,1K,22.72m2
565,ＪＲ山手線 秋葉原駅 12階建 築18年,賃貸マンション,東京都千代田区岩本町３,ＪＲ山手線/秋葉原駅 歩5分,築18年,12階建,3階,9.1万円,9000円,9.1万円,13.65万円,1K,23m2
567,ＪＲ山手線 秋葉原駅 12階建 築18年,賃貸マンション,東京都千代田区岩本町３,ＪＲ山手線/秋葉原駅 歩5分,築18年,12階建,10階,9万円,10000円,-,9万円,1K,23m2
582,KDXレジデンス秋葉原II,賃貸マンション,東京都千代田区神田須田町１,ＪＲ山手線/秋葉原駅 歩5分,築19年,14階建,2階,9.4万円,8000円,-,-,1K,23.9m2
583,KDXレジデンス秋葉原II,賃貸マンション,東京都千代田区神田須田町１,ＪＲ山手線/秋葉原駅 歩5分,築19年,14階建,11階,9.4万円,8000円,-,-,1K,23.6m2
584,KDXレジデンス秋葉原II,賃貸マンション,東京都千代田区神田須田町１,ＪＲ山手線/秋葉原駅 歩5分,築19年,14階建,3階,9.8万円,8000円,-,-,1K,24.68m2
591,グランツルクサス神田,賃貸マンション,東京都千代田区神田須田町１,ＪＲ山手線/神田駅 歩3分,築5年,9階建,4階,11.4万円,15000円,-,-,1DK,25.11m2
592,グランツルクサス神田,賃貸マンション,東京都千代田区神田須田町１,ＪＲ山手線/神田駅 歩3分,築5年,9階建,4階,12.4万円,15000円,-,-,1DK,25.11m2
593,グランツルクサス神田,賃貸マンション,東京都千代田区神田須田町１,ＪＲ山手線/神田駅 歩3分,築5年,9階建,7階,17.3万円,15000円,-,-,1LDK,41.39m2
594,グランツルクサス神田,賃貸マンション,東京都千代田区神田須田町１,ＪＲ山手線/神田駅 歩3分,築5年,9階建,7階,17.7万円,15000円,-,-,1LDK,41.39m2
595,グランツルクサス神田,賃貸マンション,東京都千代田区神田須田町１,ＪＲ山手線/神田駅 歩3分,築5年,9階建,7階,18.7万円,15000円,-,-,1LDK,41.39m2
606,ステューディオ神保町II,賃貸マンション,東京都千代田区神田神保町１,都営三田線/神保町駅 歩2分,築17年,10階建,8階,11.5万円,10000円,11.5万円,11.5万円,1K,26.17m2
607,ステューディオ神保町II,賃貸マンション,東京都千代田区神田神保町１,都営三田線/神保町駅 歩2分,築17年,10階建,6階,11.8万円,10000円,11.8万円,5.9万円,1K,26.17m2
615,パークハビオ平河町,賃貸マンション,東京都千代田区平河町１,東京メトロ有楽町線/麹町駅 歩2分,築10年,15階建,14階,14.7万円,10000円,14.7万円,14.7万円,ワンルーム,25.44m2
624,ステージファースト神田II,賃貸マンション,東京都千代田区神田東松下町,都営新宿線/岩本町駅 歩2分,築21年,8階建,6階,8.9万円,3000円,8.9万円,8.9万円,1K,23.94m2
625,ステージファースト神田II,賃貸マンション,東京都千代田区神田東松下町,都営新宿線/岩本町駅 歩2分,築21年,8階建,7階,9.3万円,-,9.3万円,9.3万円,1K,22.66m2
626,ステージファースト神田II,賃貸マンション,東京都千代田区神田東松下町,都営新宿線/岩本町駅 歩2分,築21年,8階建,7階,9.3万円,5000円,9.3万円,9.3万円,1K,22.66m2
639,ガラ・グランディ大手町,賃貸マンション,東京都千代田区神田錦町１,都営三田線/大手町駅 歩6分,築21年,地下1地上13階建,9階,9.3万円,6000円,-,9.3万円,1K,23.79m2
640,ガラ・グランディ大手町,賃貸マンション,東京都千代田区神田錦町１,都営三田線/大手町駅 歩6分,築21年,地下1地上13階建,8階,9.9万円,7000円,9.9万円,19.8万円,1K,23.24m2
643,ガラ・グランディ大手町,賃貸マンション,東京都千代田区神田錦町１,都営三田線/大手町駅 歩6分,築21年,地下1地上13階建,8階,9.9万円,9000円,9.9万円,19.8万円,1K,23.24m2
654,ガラ・ステーション岩本町North,賃貸マンション,東京都千代田区岩本町３,都営新宿線/岩本町駅 歩2分,築18年,12階建,6階,8.5万円,10000円,8.5万円,17万円,1K,22.8m2
669,ＪＲ山手線 神田駅 13階建 築15年,賃貸マンション,東京都千代田区岩本町２,ＪＲ山手線/神田駅 歩8分,築15年,13階建,10階,10.05万円,20000円,-,-,1K,27.99m2
670,ＪＲ山手線 神田駅 13階建 築15年,賃貸マンション,東京都千代田区岩本町２,ＪＲ山手線/神田駅 歩8分,築15年,13階建,10階,10.5万円,20000円,-,-,1K,27.99m2
672,ＪＲ山手線 神田駅 13階建 築15年,賃貸マンション,東京都千代田区岩本町２,ＪＲ山手線/神田駅 歩8分,築15年,13階建,3階,11万円,20000円,-,11万円,1K,34.41m2
690,ＪＲ中央線 市ケ谷駅 15階建 築12年,賃貸マンション,東京都千代田区九段南３,ＪＲ中央線/市ケ谷駅 歩10分,築12年,15階建,8階,10.1万円,15000円,10.1万円,10.1万円,ワンルーム,27.41m2
691,ＪＲ中央線 市ケ谷駅 15階建 築12年,賃貸マンション,東京都千代田区九段南３,ＪＲ中央線/市ケ谷駅 歩10分,築12年,15階建,4階,15.6万円,8000円,15.6万円,31.2万円,1LDK,40.38m2
692,ＪＲ中央線 市ケ谷駅 15階建 築12年,賃貸マンション,東京都千代田区九段南３,ＪＲ中央線/市ケ谷駅 歩10分,築12年,15階建,4階,15.6万円,15000円,15.6万円,31.2万円,1LDK,40.38m2
693,ＪＲ中央線 市ケ谷駅 15階建 築12年,賃貸マンション,東京都千代田区九段南３,ＪＲ中央線/市ケ谷駅 歩10分,築12年,15階建,13階,16.7万円,15000円,16.7万円,33.4万円,1LDK,40.38m2
702,ＪＲ総武線快速 馬喰町駅 12階建 築5年,賃貸マンション,東京都千代田区東神田２,ＪＲ総武線快速/馬喰町駅 歩5分,築5年,12階建,5階,11.8万円,10500円,-,11.8万円,1K,25.07m2
703,ＪＲ総武線快速 馬喰町駅 12階建 築5年,賃貸マンション,東京都千代田区東神田２,ＪＲ総武線快速/馬喰町駅 歩5分,築5年,12階建,2階,12.25万円,10000円,-,12.25万円,1DK,30.48m2
704,ＪＲ総武線快速 馬喰町駅 12階建 築5年,賃貸マンション,東京都千代田区東神田２,ＪＲ総武線快速/馬喰町駅 歩5分,築5年,12階建,6階,17万円,5000円,17万円,17万円,1LDK,40.62m2
705,ＪＲ総武線快速 馬喰町駅 12階建 築5年,賃貸マンション,東京都千代田区東神田２,ＪＲ総武線快速/馬喰町駅 歩5分,築5年,12階建,7階,17.6万円,10500円,-,17.6万円,1LDK,42.36m2
717,ガラ・ステーション岩本町south,賃貸マンション,東京都千代田区岩本町３,都営新宿線/岩本町駅 歩5分,築18年,12階建,5階,8.9万円,9000円,8.9万円,17.8万円,1K,22.68m2
718,ガラ・ステーション岩本町south,賃貸マンション,東京都千代田区岩本町３,都営新宿線/岩本町駅 歩5分,築18年,12階建,10階,9万円,10000円,-,9万円,1K,22.68m2
723,アーバンクリスタル九段下,賃貸マンション,東京都千代田区神田神保町３,東京メトロ東西線/九段下駅 歩2分,築26年,12階建,10階,13.4万円,10000円,13.4万円,13.4万円,ワンルーム,35.69m2
724,アーバンクリスタル九段下,賃貸マンション,東京都千代田区神田神保町３,東京メトロ東西線/九段下駅 歩2分,築26年,12階建,4階,14.3万円,10500円,-,14.3万円,ワンルーム,35.69m2
729,東京メトロ千代田線 大手町駅 13階建 築21年,賃貸マンション,東京都千代田区神田錦町１,東京メトロ千代田線/大手町駅 歩6分,築21年,13階建,9階,9.2万円,6000円,9.2万円,9.2万円,1K,23.79m2
747,フリージアテラス,賃貸マンション,東京都千代田区九段南３,東京メトロ南北線/市ケ谷駅 歩6分,築12年,15階建,8階,10.1万円,15000円,10.1万円,10.1万円,1K,27.41m2
756,ガーラ神田岩本町,賃貸マンション,東京都千代田区岩本町２,ＪＲ山手線/秋葉原駅 歩7分,築18年,14階建,5階,9.8万円,9000円,9.8万円,19.6万円,1K,26.47m2
758,ガーラ神田岩本町,賃貸マンション,東京都千代田区岩本町２,ＪＲ山手線/秋葉原駅 歩7分,築18年,14階建,2階,11.5万円,8000円,11.5万円,17.25万円,1K,31.77m2
765,隼町戸建,賃貸一戸建て,東京都千代田区隼町,東京メトロ有楽町線/永田町駅 歩5分,築23年,地下1地上2階建,B1-2階,105万円,50000円,210万円,105万円,5LDK,192.26m2
766,隼町戸建,賃貸一戸建て,東京都千代田区隼町,東京メトロ有楽町線/永田町駅 歩5分,築23年,地下1地上2階建,B1-2階,120万円,-,240万円,120万円,5SLDK,192.94m2
767,隼町戸建,賃貸一戸建て,東京都千代田区隼町,東京メトロ有楽町線/永田町駅 歩5分,築23年,地下1地上2階建,2階,120万円,-,240万円,120万円,5LDK,192.26m2
776,東京メトロ日比谷線 秋葉原駅 12階建 築8年,賃貸マンション,東京都千代田区東神田２,東京メトロ日比谷線/秋葉原駅 歩8分,築8年,12階建,11階,14万円,6000円,14万円,-,ワンルーム,30.34m2
810,ＪＲ山手線 神田駅 14階建 築3年,賃貸マンション,東京都千代田区岩本町１,ＪＲ山手線/神田駅 歩12分,築3年,14階建,10階,10.9万円,14000円,10.9万円,10.9万円,1K,26.06m2
812,ＪＲ山手線 神田駅 14階建 築3年,賃貸マンション,東京都千代田区岩本町１,ＪＲ山手線/神田駅 歩12分,築3年,14階建,7階,13.7万円,13000円,13.7万円,13.7万円,1DK,32.11m2
822,ＪＲ総武線 御茶ノ水駅 12階建 築44年,賃貸マンション,東京都千代田区神田小川町３,ＪＲ総武線/御茶ノ水駅 歩12分,築44年,12階建,3階,6.2万円,5000円,6.2万円,6.2万円,1K,14.84m2
823,ＪＲ総武線 御茶ノ水駅 12階建 築44年,賃貸マンション,東京都千代田区神田小川町３,ＪＲ総武線/御茶ノ水駅 歩12分,築44年,12階建,4階,6.3万円,6000円,6.3万円,6.3万円,1K,14.84m2
828,リバーレ九段南,賃貸マンション,東京都千代田区九段南３,ＪＲ中央線/市ケ谷駅 歩9分,築25年,地下1地上8階建,4階,12.2万円,5000円,12.2万円,-,1DK,29.05m2
829,リバーレ九段南,賃貸マンション,東京都千代田区九段南３,ＪＲ中央線/市ケ谷駅 歩9分,築25年,地下1地上8階建,3階,14.8万円,5000円,14.8万円,14.8万円,1LDK,35.01m2
855,ＪＲ中央線 飯田橋駅 38階建 築15年,賃貸マンション,東京都千代田区富士見２,ＪＲ中央線/飯田橋駅 歩3分,築15年,38階建,36階,59万円,-,59万円,59万円,3SLDK,83.84m2
858,ＪＲ中央線 飯田橋駅 地下2地上40階建 築15年,賃貸マンション,東京都千代田区富士見２,ＪＲ中央線/飯田橋駅 歩1分,築15年,地下2地上40階建,23階,39.8万円,22000円,79.6万円,39.8万円,2LDK,65.6m2
860,ＪＲ中央線 飯田橋駅 地下2地上40階建 築15年,賃貸マンション,東京都千代田区富士見２,ＪＲ中央線/飯田橋駅 歩1分,築15年,地下2地上40階建,27階,63万円,20000円,126万円,63万円,1LDK,85.08m2
868,都営新宿線 岩本町駅 15階建 築17年,賃貸マンション,東京都千代田区岩本町２,都営新宿線/岩本町駅 歩4分,築17年,15階建,8階,11.9万円,14000円,-,11.9万円,1DK,34.99m2
873,ＪＲ山手線 秋葉原駅 12階建 築38年,賃貸マンション,東京都千代田区神田練塀町,ＪＲ山手線/秋葉原駅 歩6分,築38年,12階建,6階,7.7万円,-,-,-,ワンルーム,17.88m2
876,プラウドタワー千代田富士見,賃貸マンション,東京都千代田区富士見２,東京メトロ有楽町線/飯田橋駅 歩3分,築15年,地下2地上38階建,10階,26万円,5000円,52万円,26万円,1LDK,51.42m2
877,プラウドタワー千代田富士見,賃貸マンション,東京都千代田区富士見２,東京メトロ有楽町線/飯田橋駅 歩3分,築15年,地下2地上38階建,7階,39.8万円,22000円,79.6万円,39.8万円,2LDK,65.6m2
879,プラウドタワー千代田富士見,賃貸マンション,東京都千代田区富士見２,東京メトロ有楽町線/飯田橋駅 歩3分,築15年,地下2地上38階建,36階,59万円,-,59万円,59万円,3LDK,83.84m2
894,パークリュクス神田,賃貸マンション,東京都千代田区神田多町２,東京メトロ銀座線/神田駅 歩3分,築3年,12階建,10階,37.9万円,20000円,-,37.9万円,3LDK,61.89m2
895,パークリュクス神田,賃貸マンション,東京都千代田区神田多町２,東京メトロ銀座線/神田駅 歩3分,築3年,12階建,10階,38.9万円,20000円,-,38.9万円,3LDK,61.89m2
896,パークリュクス神田,賃貸マンション,東京都千代田区神田多町２,東京メトロ銀座線/神田駅 歩3分,築3年,12階建,12階,40.9万円,20000円,-,40.9万円,3LDK,61.89m2
912,ザ・パークハウス麹町レジデンス,賃貸マンション,東京都千代田区麹町３,東京メトロ有楽町線/麹町駅 歩4分,築1年,15階建,4階,19.8万円,-,19.8万円,19.8万円,1DK,32.53m2
913,ザ・パークハウス麹町レジデンス,賃貸マンション,東京都千代田区麹町３,東京メトロ有楽町線/麹町駅 歩4分,築1年,15階建,9階,20万円,20000円,20万円,-,1DK,32.53m2
914,ザ・パークハウス麹町レジデンス,賃貸マンション,東京都千代田区麹町３,東京メトロ有楽町線/麹町駅 歩4分,築1年,15階建,7階,22.5万円,-,22.5万円,22.5万円,1DK,32.53m2
915,ザ・パークハウス麹町レジデンス,賃貸マンション,東京都千代田区麹町３,東京メトロ有楽町線/麹町駅 歩4分,築1年,15階建,3階,25万円,10000円,25万円,25万円,1LDK,41.9m2
918,ザ・パークハウス麹町レジデンス,賃貸マンション,東京都千代田区麹町３,東京メトロ有楽町線/麹町駅 歩4分,築1年,15階建,5階,28.5万円,-,28.5万円,28.5万円,1LDK,41.9m2
919,ザ・パークハウス麹町レジデンス,賃貸マンション,東京都千代田区麹町３,東京メトロ有楽町線/麹町駅 歩4分,築1年,15階建,8階,30.5万円,20000円,61万円,30.5万円,1LDK,51.75m2
920,ザ・パークハウス麹町レジデンス,賃貸マンション,東京都千代田区麹町３,東京メトロ有楽町線/麹町駅 歩4分,築1年,15階建,11階,31万円,20000円,62万円,31万円,1LDK,51.75m2
922,ザ・パークハウス麹町レジデンス,賃貸マンション,東京都千代田区麹町３,東京メトロ有楽町線/麹町駅 歩4分,築1年,15階建,12階,31.5万円,20000円,63万円,63万円,1LDK,51.75m2
923,ザ・パークハウス麹町レジデンス,賃貸マンション,東京都千代田区麹町３,東京メトロ有楽町線/麹町駅 歩4分,築1年,15階建,13階,32万円,30000円,64万円,32万円,1LDK,51.75m2
924,ザ・パークハウス麹町レジデンス,賃貸マンション,東京都千代田区麹町３,東京メトロ有楽町線/麹町駅 歩4分,築1年,15階建,14階,36万円,-,72万円,36万円,2LDK,51.75m2
925,ザ・パークハウス麹町レジデンス,賃貸マンション,東京都千代田区麹町３,東京メトロ有楽町線/麹町駅 歩4分,築1年,15階建,13階,33万円,30000円,66万円,33万円,1LDK,51.75m2
926,ザ・パークハウス麹町レジデンス,賃貸マンション,東京都千代田区麹町３,東京メトロ有楽町線/麹町駅 歩4分,築1年,15階建,8階,44.5万円,20000円,44.5万円,44.5万円,3LDK,71.33m2
928,ザ・パークハウス麹町レジデンス,賃貸マンション,東京都千代田区麹町３,東京メトロ有楽町線/麹町駅 歩4分,築1年,15階建,8階,49万円,20000円,49万円,49万円,3LDK,71.33m2
969,Ｎ３５　ＥＡＳＴ,賃貸マンション,東京都千代田区岩本町２,東京メトロ日比谷線/小伝馬町駅 歩6分,築19年,13階建,3階,9.5万円,10000円,9.5万円,-,ワンルーム,24.49m2
